,song_id,song_name,lyrics,vagalume_song_url,vagalume_song_id
0,0,É Isso Ai,É isso aí|Como a gente achou que ia ser|A vida tão simples é boa|Quase sempre|É isso aí|Os passos vão pelas ruas|Ninguém reparou na lua|A vida sempre continua|Eu não sei parar de te olhar|Eu não sei parar de te olhar|Não vou parar de te olhar|Eu não me canso de olhar|Não sei parar|De te olhar|É isso aí|Há quem acredite em milagres|Há quem cometa maldades|Há quem não saiba dizer a verdade|É isso aí|Um vendedor de flores|Ensinar seus filhos a escolher seus amores|Eu não sei parar de te olhar|Não sei parar de te olhar|Não vou parar de te olhar|Eu não me canso de olhar|Eu não vou parar...de te olhar|Eu não sei parar...de te olhar,https://www.vagalume.com.br/ana-carolina/e-isso-ai.html,3ade68b8g512d5fa3
1,1,Boate Azul/Ainda Ontem Chorei de Saudade (Com Chitãozinho e Xororó),"Doente de amor|Procurei remédio na vida noturna|Com a flor da noite|Em uma boate aqui na zona sul|A dor do amor é com outro|Amor que a gente cura|Vim curar a dor desse mal de|Amor na boate azul|E quando a noite vai se|Agonizando no clarão da aurora|Os integrantes da vida noturna|Se foram dormir|E a dama da noite que estava|Comigo também foi embora|Fecharam-se as portas|Sozinho de novo tive que sair|Sair de que jeito, se nem sei o|Rumo para onde vou|Muito vagamente me lembro|Que estou em uma boate|Aqui na zona sul|Eu bebi demais e não|Consigo me lembrar sequer|Qual é o nome daquela mulher|A flor da noite da boate azul|Você me pede na carta|Que eu desapareça|Que eu nunca mais te procure|Pra sempre te esqueça|Posso fazer sua vontade|Atender seu pedido|Mas esquecer é bobagem|É tempo perdido|Ainda ontem chorei de saudade|Relendo a carta|Sentindo o perfume|Mas que fazer|Com essa dor que me invade|Mato esse amor|Ou me mata o ciúme|O ciúme",https://www.vagalume.com.br/bruno-e-marrone/boate-azul-ainda-ontem-chorei-de-saudade-com-chitaozinho-e-xororo.html,3ade68b8gab73d0b3
2,2,Dormi na Praça,"Eu caminhei sozinho pela rua|Falei com as estrelas e com a lua|Deitei num banco da praça tentando te esquecer|Adormeci e sonhei com você|No sonho você veio provocante|Me deu um beijo doce e me abraçou|E bem na hora H no ponto alto do amor|Já era dia e o guarda me acordou|Seu guarda eu não sou vagabundo eu não sou|delinquente|Sou um cara carente|Eu dormi na praça, pensando nela|Seu guarda seja meu amigo me bata me prenda faça tudo|comigo mas não me deixe ficar sem ela",https://www.vagalume.com.br/bruno-e-marrone/dormi-na-praca.html,3ade68b6g7ca1fda3
3,3,Desde que o Samba é Samba,A tristeza é senhora|Desde que o samba é samba é assi|A lágrima clara sobre a pele escura|a noite e a chuva que cai lá fora|Solidão apavora|tudo demorando em ser tão ruim|Mas alguma coisa acontece|no quando agora em mim|Cantando eu mando a tristeza embora|O samba ainda vai nascer|O samba ainda não chegou|O samba não vai morrer|veja o dia ainda não raiou|O samba é o pai do prazer|o samba é o filho da dor|O grande poder transformador,https://www.vagalume.com.br/caetano-veloso/desde-que-o-samba-e-samba.html,3ade68b6g6fa1fda3
4,4,Sampa,"Alguma coisa acontece no meu coração|Que só quando cruzo a Ipiranga e Av. São João|É que quando eu cheguei por aqui eu nada entendi|Da dura poesia concreta de tuas esquinas|Da deselegância discreta de tuas meninas|Ainda não havia para mim Rita Lee|A tua mais completa tradução|Alguma coisa acontece no meu coração|Que só quando cruza a Ipiranga e avenida São João|Quando eu te encarei frente a frente e não vi o meu rosto|Chamei de mau gosto o que vi, de mau gosto, mau gosto|É que Narciso acha feio o que não é espelho|E à mente apavora o que ainda não é mesmo velho|Nada do que não era antes quando não somos mutantes|E foste um difícil começo|Afasto o que não conheço|E quem vende outro sonho feliz de cidade|Aprende depressa a chamar-te de realidade|Porque és o avesso do avesso do avesso do avesso|Do povo oprimido nas filas, nas vilas, favelas|Da força da grana que ergue e destrói coisas belas|Da feia fumaça que sobe, apagando as estrelas|Eu vejo surgir teus poetas de campos, espaços|Tuas oficinas de florestas, teus deuses da chuva|Pan-Américas de Áfricas utópicas, túmulo do samba|Mas possível novo quilombo de Zumbi|E os Novos Baianos passeiam na tua garoa|E novos baianos te podem curtir numa boa",https://www.vagalume.com.br/caetano-veloso/sampa.html,3ade68b6g19e0fda3
5,5,Sozinho,"Às vezes no silêncio da noite|Eu fico imaginando nós dois|Eu fico ali sonhando acordado|Juntando o antes, o agora e o depois|Por que você me deixa tão solto?|Por que você não cola em mim?|Tô me sentindo muito sozinho|Não sou nem quero ser o seu dono|É que um carinho às vezes cai bem|Eu tenho os meus desejos e planos secretos|Só abro pra você, mais ninguém|Por que você me esquece e some?|E se eu me interessar por alguém?|E se ela de repente me ganha?|Quando a gente gosta|É claro que a gente cuida|Fala que me ama|Só que é da boca pra fora|Ou você me engana|Ou não está madura|Onde está você agora?",https://www.vagalume.com.br/caetano-veloso/sozinho-1.html,3ade68b6g23b1fda3
6,6,Você É Linda,"Fonte de mel|Nos olhos de gueixa|Kabuki, máscara|Choque entre o azul|E o cacho de acácias|Luz das acácias|Você é mãe do sol|A sua coisa é toda tão certa|Beleza esperta|Você me deixa a rua deserta|Quando atravessa|E não olha pra trás|Linda|E sabe viver|Você me faz feliz|Esta canção é só pra dizer|E diz|Você é linda|Mais que demais|Você é linda sim|Onda do mar do amor|Que bateu em mim|Você é forte|Dentes e músculos|Peitos e lábios|Você é forte|Letras e músicas|Todas as músicas|Que ainda hei de ouvir|No Abaeté|Areias e estrelas|Não são mais belas|Do que você|Mulher das estrelas|Mina de estrelas|Diga o que você quer|Você é linda|E sabe viver|Você me faz feliz|Esta canção é só pra dizer|E diz|Você é linda|Mais que demais|Você é linda sim|Onda do mar do amor|Que bateu em mim|Gosto de ver|Você no seu ritmo|Dona do carnaval|Gosto de ter|Sentir seu estilo|Ir no seu íntimo|Nunca me faça mal|Linda|Mais que demais|Você é linda sim|Onda do mar do amor|Que bateu em mim|Você é linda|E sabe viver|Você me faz feliz|Esta canção é só pra dizer|E diz",https://www.vagalume.com.br/caetano-veloso/voce-e-linda.html,3ade68b6ge371fda3
7,7,Você Não Me Ensinou A Te Esquecer,"Não vejo mais você faz tanto tempo|Que vontade que eu sinto|De olhar em seus olhos, ganhar seus abraços|É verdade, eu não minto|E nesse desespero em que me vejo|Já cheguei a tal ponto|De me trocar diversas vezes por você|Só pra ver se te encontro|Você bem que podia perdoar|E só mais uma vez me aceitar|Prometo agora vou fazer por onde nunca mais perdê-la|Agora, que faço eu da vida sem você?|Você não me ensinou a te esquecer|Você só me ensinou a te querer|E te querendo eu vou tentando te encontrar|Vou me perdendo|Buscando em outros braços seus abraços|Perdido no vazio de outros passos|Do abismo em que você se retirou|E me atirou e me deixou aqui sozinho|Agora, que faço eu da vida sem você?|Você não me ensinou a te esquecer|Você só me ensinou a te querer|E te querendo eu vou tentando me encontrar|E nesse desespero em que me vejo|Já cheguei a tal ponto|De me trocar diversas vezes por você|Só pra ver se te encontro|Você bem que podia perdoar|E só mais uma vez me aceitar|Prometo agora vou fazer por onde nunca mais perdê-la|Agora, que faço eu da vida sem você?|Você não me ensinou a te esquecer|Você só me ensinou a te querer|E te querendo eu vou tentando te encontrar|Vou me perdendo|Buscando em outros braços seus abraços|Perdido no vazio de outros passos|Do abismo em que você se retirou|E me atirou e me deixou aqui sozinho|Agora, que faço eu da vida sem você?|Você não me ensinou a te esquecer|Você só me ensinou a te querer|E te querendo eu vou tentando te encontrar|Vou me perdendo|Buscando em outros braços seus abraços|Perdido no vazio de outros passos|Do abismo em que você se retirou|E me atirou e me deixou aqui sozinho|Agora, que faço eu da vida sem você?|Você não me ensinou a te esquecer|Você só me ensinou a te querer|E te querendo eu vou tentando me encontrar",https://www.vagalume.com.br/caetano-veloso/voce-nao-me-ensinou-a-te-esquecer.html,3ade68b6g8e09fda3
8,8,Exagerado,"Amor da minha vida|Daqui até a eternidade|Nossos destinos foram traçados|Na maternidade|Paixão cruel, desenfreada|Te trago mil rosas roubadas|Pra desculpar minhas mentiras|Minhas mancadas|Exagerado|Jogado aos teus pés|Eu sou mesmo exagerado|Adoro um amor inventado|Eu nunca mais vou respirar|Se você não me notar|Eu posso até morrer de fome|Se você não me amar|Por você eu largo tudo|Vou mendigar, roubar, matar|Até nas coisas mais banais|Pra mim é tudo ou nunca mais|Exagerado|Jogado aos teus pés|Eu sou mesmo exagerado|Adoro um amor inventado|Que por você eu largo tudo|Carreira, dinheiro, canudo|Até nas coisas mais banais|Pra mim é tudo ou nunca mais|© Editora Sigem|62732030",https://www.vagalume.com.br/cazuza/exagerado.html,3ade68b6g7271fda3
9,9,Como Um Anjo,"Como um anjo|Você apareceu na minha vida|Como um anjo|Repleto de ternura e de paixão oh oh...|Como um anjo|Encanto e sedução doce aventura|Hum que loucura  você desabrochando no meu coração|Linda menina|Com olhar inocente, malícia, desejo e tentação|Que me cobre de amor e carícias vencendo a solidão|Só você pra me fazer feliz|Ai Ai Ai Ai Ai|Anjo, a luz do sol tá me acordando|Não vá embora estou te amando|Por favor não me deixe só|Ai Ai Ai Ai Ai|Anjo, não quero abrir meus olhos|Quero seguir vivendo um sonho de sermos só você e eu|Linda menina com olhar inocente malícia, desejo e tentação|Que me cobre de amor e carícias vencendo a solidão|Só você  pra me fazer feliz Ai Ai Ai Ai Ai|Anjo, a luz do sol tá me acordando|Não vá embora estou te amando|Por favor não me deixe só|Ai Ai Ai Ai Ai|Anjo, não quero abrir meus olhos|Quero seguir vivendo um sonho de sermos só você e eu|Anjo, a luz do sol tá me acordando|Não vá embora estou te amando|Por favor não me deixe só Ai Ai Ai Ai Ai|Anjo, não quero abrir meus olhos|Quero seguir vivendo um sonho de sermos só você e eu...",https://www.vagalume.com.br/cesar-menotti-fabiano/como-um-anjo.html,3ade68b7ge4bf8ea3
